"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"85",2,1,3,5,7,5,6,5,5,4,6,4,2,3,3,4,4,3,3,4,2,3,3,1,3,37,1,2,2
"94",1,2,3,7,7,7,7,7,7,7,7,5,4,5,5,5,5,4,5,5,4,4,5,1,5,79,5,2,2
"98",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,2,1,50,2,2,2
"99",2,3,1,9,9,9,5,7,7,8,7,5,2,5,2,5,5,2,5,5,4,5,4,2,4,70,5,2,2
"104",1,2,3,9,9,9,9,9,9,9,9,4,1,4,2,5,4,2,4,5,3,4,5,2,4,41,1,2,2
"111",1,3,2,9,9,9,9,9,9,9,9,5,4,4,3,5,5,2,5,5,4,3,4,1,3,66,5,2,2
"116",1,3,2,8,8,8,8,8,8,8,8,5,3,5,4,4,4,4,5,4,2,5,5,1,5,62,5,2,2
"121",1,3,2,6,3,5,7,5,3,6,6,4,3,5,1,4,4,2,4,4,3,4,4,2,3,65,5,2,2
"128",1,3,2,8,9,8,8,8,8,9,8,5,4,5,4,5,5,2,4,4,2,5,5,1,4,57,1,2,2
"137",3,2,1,8,8,8,8,5,9,6,5,3,2,3,3,2,2,2,2,2,2,2,2,2,5,50,3,2,2
"139",1,3,2,8,8,8,8,6,6,2,2,4,1,2,1,4,4,1,3,3,1,2,3,2,4,39,1,2,2
"145",1,2,3,6,6,6,6,6,6,6,6,5,2,5,1,5,4,2,5,5,2,5,5,1,4,71,5,2,2
"154",1,3,2,9,9,9,9,9,9,9,9,4,3,4,3,4,3,4,4,4,2,3,4,2,5,53,6,2,2
"158",2,3,1,9,9,9,9,7,7,7,7,4,3,4,3,3,3,3,3,4,3,2,3,1,4,60,1,2,2
"161",1,2,3,6,6,6,6,6,6,6,6,3,2,3,3,3,3,3,3,3,3,3,3,2,1,61,5,2,2
"167",1,3,2,9,9,9,9,9,9,9,9,3,1,4,1,4,4,2,4,2,1,2,2,1,4,65,1,2,2
"171",1,2,3,7,8,7,6,7,7,7,6,2,3,2,3,2,3,3,3,2,3,2,2,2,1,68,5,2,2
"173",1,2,3,8,5,8,8,7,6,6,5,4,3,4,1,4,4,1,4,4,4,3,4,2,1,70,5,2,2
"176",1,3,2,9,9,9,9,9,9,9,9,4,3,5,2,4,4,3,5,4,2,4,4,2,1,21,2,2,2
"183",1,3,2,8,8,8,8,8,7,8,6,5,5,5,5,5,5,5,5,5,5,5,5,2,5,44,1,2,2
"185",1,3,2,9,9,1,9,9,9,9,9,2,4,3,3,3,3,3,3,2,3,2,3,2,4,57,1,2,2
"191",1,3,2,8,7,7,9,8,6,5,7,4,3,5,4,3,2,3,4,2,5,3,2,2,5,19,1,2,2
"193",1,3,2,5,5,5,5,7,7,7,7,3,1,4,2,4,4,1,4,4,1,3,3,2,4,51,1,2,2
"203",1,3,2,5,5,5,5,5,9,5,5,3,3,3,3,5,5,5,5,3,3,3,3,1,1,19,2,2,2
"208",1,3,2,9,9,9,9,9,9,9,9,4,2,5,2,5,5,2,4,3,2,5,3,2,1,28,2,2,2
"215",1,3,2,9,9,9,9,9,9,9,9,3,3,5,4,4,4,2,5,5,3,5,5,1,5,64,5,2,2
"217",1,3,2,9,9,9,9,9,9,9,9,5,3,5,1,5,5,2,4,4,1,4,5,2,5,70,5,2,2
"219",1,2,3,9,9,9,9,9,9,9,9,4,2,5,3,4,4,3,5,4,2,4,4,2,5,74,5,2,2
"229",1,3,2,9,9,9,9,9,9,9,9,5,1,5,1,5,5,1,5,5,1,5,5,1,1,72,5,2,2
"230",2,3,1,7,7,7,7,7,7,7,7,4,3,4,2,5,4,2,3,4,2,4,3,2,1,38,2,2,2
