"","gender","age","income","employment","B2vsC3","C3vsE5","A1vsE5","A1vsC3","A1vsD4","C3vs6F","A1vsB2","E5vs6F","A1vs6F","C3vsD4","D4vs6F","B2vs6F","D4vsE5","B2vsE5","B2vsD4","condition"
"112",2,44,1,1,2,3,1,1,1,3,2,5,1,3,4,2,4,2,2,2
"113",2,53,2,4,2,3,5,3,4,6,2,6,6,4,4,2,4,2,4,2
"114",2,61,5,1,3,3,5,3,4,3,2,5,6,3,4,2,4,2,4,2
"115",2,63,5,3,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,2
"116",2,35,3,5,2,3,1,1,1,3,2,5,1,4,4,2,4,2,2,2
"117",1,61,5,5,3,5,5,3,4,6,1,6,6,3,6,5,5,5,4,2
"118",1,65,5,1,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,2
"119",1,44,1,1,2,3,5,3,1,6,2,5,1,4,4,5,5,2,4,2
"120",1,61,3,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"121",1,55,1,4,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,2
"122",2,59,2,1,3,3,1,3,4,3,1,5,1,3,4,2,4,2,4,2
"123",2,62,2,5,3,5,5,3,4,3,1,5,6,3,6,5,5,5,4,2
"124",2,56,5,4,2,3,1,1,1,3,1,6,1,3,4,2,4,2,2,2
"125",2,52,6,1,3,3,1,3,1,3,1,5,6,4,4,2,4,2,2,2
"126",1,70,5,4,2,5,5,3,4,6,2,6,6,4,6,5,4,5,4,2
"127",2,25,2,5,3,3,5,3,4,3,2,5,6,3,4,2,4,5,4,2
"128",2,27,1,3,2,3,5,3,1,3,2,5,6,4,4,5,4,2,4,2
"129",2,40,3,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"130",1,66,5,5,3,3,5,3,1,3,1,5,1,3,4,2,5,5,4,2
"131",2,57,6,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"132",2,43,2,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,2
"133",2,67,5,2,3,3,5,3,1,3,1,5,1,3,4,5,5,5,4,2
"134",2,43,6,1,3,3,5,3,4,3,1,5,1,3,4,2,4,5,2,2
"135",2,62,5,1,3,3,1,3,4,3,1,5,1,3,4,2,4,2,4,2
"136",2,65,5,5,2,3,1,1,1,3,1,5,1,3,4,2,4,2,2,2
"137",2,52,2,1,3,5,5,3,1,3,1,5,6,3,6,5,5,5,4,2
"138",2,32,1,4,3,5,5,3,4,6,2,6,6,4,6,5,5,5,4,2
"139",2,27,1,3,2,3,5,3,1,6,2,5,1,3,4,5,4,5,2,2
"140",2,55,2,1,2,3,5,3,4,6,2,6,6,4,6,5,4,2,2,2
"141",1,39,1,3,2,3,1,1,1,3,2,5,1,3,4,2,4,2,2,2
"142",2,38,2,4,3,3,1,3,1,3,1,5,1,3,4,2,4,2,4,2
"143",2,68,5,5,3,3,5,3,4,3,2,5,6,4,4,2,4,5,4,2
"144",1,68,5,3,3,5,5,3,4,6,2,6,6,3,6,5,5,5,4,2
"145",2,32,1,3,3,5,1,1,4,3,2,6,1,4,4,2,4,2,2,2
"146",1,47,1,2,2,3,5,3,4,6,2,5,6,4,4,5,4,5,4,2
"147",1,67,5,1,3,3,1,3,1,3,1,5,1,3,4,2,5,5,2,2
"148",1,51,1,4,3,3,1,1,1,3,2,6,1,4,4,5,4,2,2,2
"149",2,62,6,3,2,3,1,1,1,3,2,5,1,4,4,2,4,2,2,2
"150",1,47,3,2,2,3,1,1,1,3,1,5,1,3,4,2,4,2,2,2
"151",2,57,5,2,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,2
"152",2,27,4,1,3,3,1,1,1,3,1,5,1,3,6,5,5,5,4,3
"153",1,25,1,3,2,3,1,3,1,3,2,5,1,3,4,2,4,2,2,3
"154",1,54,2,2,3,5,5,3,4,6,1,5,6,4,6,5,5,5,4,3
"155",2,57,3,1,3,3,1,1,1,3,1,5,1,3,4,2,5,2,2,3
"156",1,38,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"157",2,27,1,3,2,3,5,1,1,3,1,5,6,3,4,2,4,5,2,3
"158",1,61,5,3,3,5,1,3,4,6,2,6,6,4,4,5,4,2,4,3
"159",1,66,5,4,2,3,1,1,1,3,2,5,1,3,4,2,4,2,2,3
"160",1,54,5,4,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"161",2,65,5,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"162",2,27,1,2,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,3
"163",2,34,6,1,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,3
"164",2,49,6,5,3,3,5,3,4,3,1,5,1,3,4,2,4,2,2,3
"165",1,58,1,3,3,3,5,3,4,3,2,6,6,4,4,2,4,2,4,3
"166",1,31,1,4,3,3,1,1,1,3,1,5,1,3,4,2,4,2,2,3
"167",2,59,6,2,3,3,1,3,4,3,1,5,1,3,4,2,4,5,4,3
"168",1,57,5,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"169",1,84,5,2,3,3,1,1,1,3,1,5,1,3,4,2,5,5,2,3
"170",1,51,1,4,3,3,1,1,1,3,2,5,1,4,4,2,4,2,2,3
"171",2,62,2,2,3,3,5,1,1,3,2,6,6,3,4,5,5,5,4,3
"172",1,30,2,1,3,3,1,1,1,3,1,5,1,3,4,2,5,5,2,3
"173",1,60,1,4,3,3,5,3,4,3,2,5,6,4,4,2,4,2,4,3
